n,heapsort.ticks,(n)
150000,5357956,150000
180000,6530028,180000
210000,7708792,210000
240000,8896022,240000
270000,10094448,270000
300000,11313952,300000
330000,12545502,330000
360000,13781132,360000
390000,15020444,390000
420000,16258286,420000
450000,17501958,450000
480000,18754452,480000
510000,20005066,510000
540000,21271722,540000
570000,22549406,570000
600000,23836376,600000
630000,25120822,630000
660000,26407376,660000
690000,27698560,690000
720000,28997984,720000
750000,30293774,750000
780000,31593278,780000
810000,32897652,810000
840000,34201156,840000
870000,35500640,870000
900000,36815140,900000
930000,38117724,930000
960000,39424360,960000
990000,40743312,990000
1020000,42050372,1020000
1050000,43361362,1050000
1080000,44695512,1080000
1110000,46034830,1110000
1140000,47372990,1140000
1170000,48712508,1170000
1200000,50057256,1200000
1230000,51409046,1230000
1260000,52758382,1260000
1290000,54099710,1290000
1320000,55454586,1320000
1350000,56809606,1350000
1380000,58161302,1380000
1410000,59513410,1410000
1440000,60874208,1440000
1470000,62226508,1470000
