n,heapsort.ticks
150000,31793147
180000,38815078
210000,45881224
240000,52986126
270000,60148737
300000,67499705
330000,74869189
360000,82285797
390000,89726132
420000,97198298
450000,104681119
480000,112199721
510000,119705168
540000,127316198
570000,135009903
600000,142766054
630000,150521986
660000,158305344
690000,166112238
720000,173919110
750000,181726838
780000,189598984
810000,197460528
840000,205308104
870000,213196138
900000,221064049
930000,228967566
960000,236865456
990000,244776107
1020000,252705535
1050000,260628542
1080000,268718683
1110000,276776116
1140000,284908056
1170000,292997416
1200000,301158467
1230000,309286607
1260000,317450489
1290000,325569381
1320000,333775835
1350000,341949529
1380000,350140058
1410000,358359322
1440000,366597046
1470000,374781953
