n,heapsort.time
150000,104
180000,157
210000,205
240000,253
270000,313
300000,368
330000,423
360000,486
390000,549
420000,612
450000,679
480000,745
510000,805
540000,882
570000,961
600000,1030
630000,1103
660000,1182
690000,1234
720000,1333
750000,1405
780000,1490
810000,1568
840000,1804
870000,1723
900000,1884
930000,1851
960000,1950
990000,2058
1020000,2136
1050000,2230
1080000,2310
1110000,2414
1140000,2477
1170000,2579
1200000,2718
1230000,2744
1260000,3045
1290000,3703
1320000,4280
1350000,4011
1380000,3915
1410000,3485
1440000,3787
1470000,4059
