Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,85,430825389,600294988
1,113,-594081890,-1792335204
2,51,-478527769,-1122985026
3,113,300581352,-2021647318
4,17,252044595,-968354093
5,79,-2113109967,1012526443
6,85,-668756667,143736461
7,113,-1468937052,782010404
8,51,428954724,1835154913
9,96,-477961454,-1336001445
10,45,1489469240,-1489659321
11,79,336719976,-726026304
12,102,-1677219143,-911614292
13,85,-909526353,1438513211
14,96,-600300912,-333058652
15,28,-1333520234,-734032406
16,51,1504409933,-1169899319
17,113,-191043995,-813741771
18,113,1804237130,-770295016
19,45,1646046209,1217904604
20,79,-670521557,1786788373
21,96,-1745866786,89207582
22,28,2017798540,-1097962665
23,85,1354468,-2062730079
24,28,1246156837,1672414260
25,79,86348905,1619990932
26,102,562805914,1193319072
27,34,222228312,-220165937
28,28,2128671829,-1377645485
29,51,174294506,1616124524
30,34,-1313614088,911354915
31,62,864686711,1490612497
32,102,-1037062656,1897279444
33,102,53307787,1205463434
34,62,1850810800,-386833230
35,102,-378745121,-1495655276
36,62,1870146672,830036341
37,45,-1543198528,779192802
38,68,1756001166,-1491079640
39,34,2022644300,-1107236220
40,17,-1575885657,-6500397
41,17,593236218,332577847
42,96,-915385785,-174933431
43,45,-1261525146,-247984836
44,113,-1158161015,-1718070536
45,28,-72250496,779254543
46,96,1734461680,53938874
47,17,-747959409,2071635568
48,17,-1494294661,-1354726347
49,96,185236643,872772172
50,102,1079799474,1745310058
51,51,1097765896,2081921642
52,28,364850174,-1352068417
53,51,-1940974846,-91692408
54,85,358411869,516760405
55,17,1843660821,900572568
56,17,825130871,-1233317441
57,102,-1718869953,-1683918171
58,96,2139226752,2007552336
59,102,-955257812,-527010248
60,28,-2104732202,-858100260
61,96,1135380224,1725711183
62,34,1838088098,544892741
63,28,-704728335,-398618783
64,34,-1104753477,1789571491
65,96,-1414147599,-1049081251
66,68,-1438966422,1818349379
67,96,-1080503926,-599628049
68,28,2024865225,-1802184970
69,113,1943097612,-1674331952
70,102,1053056621,-512944753
71,68,1078801771,-1776936777
72,68,904154501,-984084611
